model	task	layer	metric	score	relative_to_task_best	n_samples	result_path
llava-v1.6-vicuna-7b	gqa	11	exact_match,none	0.588	0.9216300940438871	500	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/best_layer_sweep/outputs/topk_160/llava-v1.6-vicuna-7b/gqa/scoring_layer_11/liuhaotian__llava-v1.6-vicuna-7b/20260719_111051_results.json
llava-v1.6-vicuna-7b	gqa	12	exact_match,none	0.61	0.9561128526645768	500	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/best_layer_sweep/outputs/topk_160/llava-v1.6-vicuna-7b/gqa/scoring_layer_12/liuhaotian__llava-v1.6-vicuna-7b/20260719_111634_results.json
llava-v1.6-vicuna-7b	gqa	13	exact_match,none	0.61	0.9561128526645768	500	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/best_layer_sweep/outputs/topk_160/llava-v1.6-vicuna-7b/gqa/scoring_layer_13/liuhaotian__llava-v1.6-vicuna-7b/20260719_111634_results.json
llava-v1.6-vicuna-7b	gqa	14	exact_match,none	0.59	0.9247648902821316	500	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/best_layer_sweep/outputs/topk_160/llava-v1.6-vicuna-7b/gqa/scoring_layer_14/liuhaotian__llava-v1.6-vicuna-7b/20260719_111631_results.json
llava-v1.6-vicuna-7b	gqa	15	exact_match,none	0.608	0.9529780564263323	500	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/best_layer_sweep/outputs/topk_160/llava-v1.6-vicuna-7b/gqa/scoring_layer_15/liuhaotian__llava-v1.6-vicuna-7b/20260719_111634_results.json
llava-v1.6-vicuna-7b	gqa	16	exact_match,none	0.638	1.0	500	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/best_layer_sweep/outputs/topk_160/llava-v1.6-vicuna-7b/gqa/scoring_layer_16/liuhaotian__llava-v1.6-vicuna-7b/20260719_112326_results.json
llava-v1.6-vicuna-7b	gqa	17	exact_match,none	0.624	0.9780564263322884	500	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/best_layer_sweep/outputs/topk_160/llava-v1.6-vicuna-7b/gqa/scoring_layer_17/liuhaotian__llava-v1.6-vicuna-7b/20260719_112326_results.json
llava-v1.6-vicuna-7b	gqa	18	exact_match,none	0.636	0.9968652037617555	500	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/best_layer_sweep/outputs/topk_160/llava-v1.6-vicuna-7b/gqa/scoring_layer_18/liuhaotian__llava-v1.6-vicuna-7b/20260719_112328_results.json
llava-v1.6-vicuna-7b	gqa	19	exact_match,none	0.6	0.9404388714733541	500	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/best_layer_sweep/outputs/topk_160/llava-v1.6-vicuna-7b/gqa/scoring_layer_19/liuhaotian__llava-v1.6-vicuna-7b/20260719_112328_results.json
llava-v1.6-vicuna-7b	gqa	20	exact_match,none	0.594	0.9310344827586207	500	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/best_layer_sweep/outputs/topk_160/llava-v1.6-vicuna-7b/gqa/scoring_layer_20/liuhaotian__llava-v1.6-vicuna-7b/20260719_113121_results.json
llava-v1.6-vicuna-7b	gqa	21	exact_match,none	0.58	0.9090909090909091	500	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/best_layer_sweep/outputs/topk_160/llava-v1.6-vicuna-7b/gqa/scoring_layer_21/liuhaotian__llava-v1.6-vicuna-7b/20260719_113121_results.json
llava-v1.6-vicuna-7b	gqa	22	exact_match,none	0.616	0.9655172413793103	500	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/best_layer_sweep/outputs/topk_160/llava-v1.6-vicuna-7b/gqa/scoring_layer_22/liuhaotian__llava-v1.6-vicuna-7b/20260719_113121_results.json
llava-v1.6-vicuna-7b	gqa	23	exact_match,none	0.61	0.9561128526645768	500	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/best_layer_sweep/outputs/topk_160/llava-v1.6-vicuna-7b/gqa/scoring_layer_23/liuhaotian__llava-v1.6-vicuna-7b/20260719_113118_results.json
llava-v1.6-vicuna-7b	gqa	24	exact_match,none	0.544	0.8526645768025078	500	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/best_layer_sweep/outputs/topk_160/llava-v1.6-vicuna-7b/gqa/scoring_layer_24/liuhaotian__llava-v1.6-vicuna-7b/20260719_114025_results.json
llava-v1.6-vicuna-7b	gqa	25	exact_match,none	0.622	0.9749216300940439	500	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/best_layer_sweep/outputs/topk_160/llava-v1.6-vicuna-7b/gqa/scoring_layer_25/liuhaotian__llava-v1.6-vicuna-7b/20260719_114026_results.json
llava-v1.6-vicuna-7b	gqa	26	exact_match,none	0.612	0.9592476489028213	500	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/best_layer_sweep/outputs/topk_160/llava-v1.6-vicuna-7b/gqa/scoring_layer_26/liuhaotian__llava-v1.6-vicuna-7b/20260719_114025_results.json
llava-v1.6-vicuna-7b	gqa	27	exact_match,none	0.538	0.8432601880877744	500	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/best_layer_sweep/outputs/topk_160/llava-v1.6-vicuna-7b/gqa/scoring_layer_27/liuhaotian__llava-v1.6-vicuna-7b/20260719_114022_results.json
llava-v1.6-vicuna-7b	gqa	28	exact_match,none	0.59	0.9247648902821316	500	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/best_layer_sweep/outputs/topk_160/llava-v1.6-vicuna-7b/gqa/scoring_layer_28/liuhaotian__llava-v1.6-vicuna-7b/20260719_115042_results.json
llava-v1.6-vicuna-7b	gqa	29	exact_match,none	0.58	0.9090909090909091	500	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/best_layer_sweep/outputs/topk_160/llava-v1.6-vicuna-7b/gqa/scoring_layer_29/liuhaotian__llava-v1.6-vicuna-7b/20260719_115043_results.json
llava-v1.6-vicuna-7b	gqa	30	exact_match,none	0.562	0.8808777429467085	500	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/best_layer_sweep/outputs/topk_160/llava-v1.6-vicuna-7b/gqa/scoring_layer_30/liuhaotian__llava-v1.6-vicuna-7b/20260719_115041_results.json
llava-v1.6-vicuna-7b	gqa	31	exact_match,none	0.582	0.9122257053291535	500	/data1/chenzixuan/open_source_projects/LLaVA_token_compression/best_layer_sweep/outputs/topk_160/llava-v1.6-vicuna-7b/gqa/scoring_layer_31/liuhaotian__llava-v1.6-vicuna-7b/20260719_115041_results.json
